,Quantization Distrubution,q_acc,acc - q_acc,size
0,8886888,97.37,0.0,48.34
1,8884888,97.37,0.0,44.34
2,8882888,97.37,0.0,40.34
3,8882688,97.37,0.0,36.34
4,8882488,97.37,0.0,32.34
5,8882288,97.37,0.0,28.34
6,8882268,97.37,0.0,24.96
7,8882248,97.37,0.0,21.59
8,8882228,97.37,0.0,18.21
9,8862228,97.37,0.0,17.21
10,8842228,97.37,0.0,16.21
11,8822228,97.37,0.0,15.21
12,8622228,97.37,0.0,14.84
13,8422228,97.37,0.0,14.46
14,8222228,97.37,0.0,14.09
15,8222226,97.37,0.0,13.78
16,8222224,97.37,0.0,13.48
17,8222222,97.37,0.0,13.18
18,6222222,96.71,0.66,13.15
19,4222222,52.96,44.41,13.12
